schedule_date,schedule_date,schedule_season,schedule_week,team_home,team_away,stadium_surface,stadium_type,stadium_capacity,spread_favorite
2009-09-20,2009-09-20,2009,2,DET,MIN,FieldTurf,indoor,"65,000",10.0
2009-09-20,2009-09-20,2009,2,GB,CIN,Grass,outdoor,"80,735",-7.5
2009-09-20,2009-09-20,2009,2,JAX,ARI,Grass,outdoor,"67,264",-3.0
2009-09-20,2009-09-20,2009,2,KC,LVR,Grass,outdoor,"76,416",-1.5
2009-09-20,2009-09-20,2009,2,NYJ,NE,Grass,outdoor,82500,3.5
2009-09-20,2009-09-20,2009,2,PHI,NO,Grass,outdoor,"69,176",2.5
2009-09-20,2009-09-20,2009,2,LAC,BAL,Grass,outdoor,"71,500",-1.0
2009-09-20,2009-09-20,2009,2,SF,SEA,Grass,outdoor,70000,-1.0
2009-09-20,2009-09-20,2009,2,TEN,HOU,Grass,outdoor,"69,143",-7.0
2009-09-20,2009-09-20,2009,2,WAS,LAR,Grass,outdoor,"79,000",-10.0
2009-09-21,2009-09-21,2009,2,MIA,IND,Grass,outdoor,65000,3.0
2009-09-27,2009-09-27,2009,3,ARI,IND,Grass,indoor,"63,400",-3.0
2009-09-27,2009-09-27,2009,3,BAL,CLE,FieldTurf,outdoor,"71,008",-13.5
2009-09-27,2009-09-27,2009,3,BUF,NO,FieldTurf,outdoor,"73,967",5.5
2009-09-27,2009-09-27,2009,3,CIN,PIT,FieldTurf,outdoor,"65,515",3.5
2009-09-27,2009-09-27,2009,3,DET,WAS,FieldTurf,indoor,"65,000",6.0
2009-09-27,2009-09-27,2009,3,HOU,JAX,Grass,indoor,"71,500",-4.5
2009-09-27,2009-09-27,2009,3,MIN,SF,FieldTurf,indoor,64000,-7.0
2009-09-27,2009-09-27,2009,3,NE,ATL,FieldTurf,outdoor,"68,756",-4.5
2009-09-27,2009-09-27,2009,3,NYJ,TEN,Grass,outdoor,82500,-1.0
2009-09-27,2009-09-27,2009,3,LVR,DEN,Grass,outdoor,"53,250",2.5
2009-09-27,2009-09-27,2009,3,PHI,KC,Grass,outdoor,"69,176",-7.5
2009-09-27,2009-09-27,2009,3,LAC,MIA,Grass,outdoor,"71,500",-5.5
2009-09-27,2009-09-27,2009,3,SEA,CHI,FieldTurf,outdoor,"67,000",2.5
